Date,Close,High,Low,VIX,Returns,EMA_20,EMA_50,Dist_EMA_20,EMA_20_50_Spread,MACD,MACD_Slope_5,RSI,RSI_Slope_5,VIX_5D_Change,VIX_Level,Fwd_5D_Ret,Regime,Regime_Name,Actionable_Regime_Name
2008-04-16,4887.2998046875,4951.39990234375,4874.0498046875,27.940000534057617,0.0015664878263013712,4783.832240477314,4825.393511975235,0.02162859377356896,-0.008613032573359547,-2.8711697892767916,31.72893328374448,53.42271478194659,-6.218779376043763,-3.4599990844726562,27.940000534057617,0.02302913622381042,1,High_Momentum_Bull,High_Momentum_Bull
2008-04-17,4958.39990234375,4984.9501953125,4889.64990234375,27.100000381469727,0.014443124561409898,4800.4577320836415,4830.609448852431,0.03290148129094206,-0.006241803873412444,10.989420939754382,42.90658626276581,56.937895169513176,-2.9842170612484225,-11.14000129699707,27.100000381469727,0.030917291059215923,1,High_Momentum_Bull,High_Momentum_Bull
2008-04-21,5037.0,5053.39990234375,4955.89990234375,27.100000381469727,0.015727578407280188,4822.9855671232945,4838.703195956258,0.04437384891540441,-0.003248314309937217,27.9937158146804,58.56591814254989,55.33467870099556,-2.226519524408907,-3.4200000762939453,27.100000381469727,0.010452630999354673,1,High_Momentum_Bull,High_Momentum_Bull
2008-04-22,5049.2998046875,5074.25,4994.0498046875,39.619998931884766,0.0024389143734745633,4844.539304034171,4846.961886494739,0.042266248202965206,-0.0004998146297203743,41.97833336053827,67.57461499260899,72.6409462187834,14.723644447298305,5.789997100830078,39.619998931884766,0.028954548346837194,1,High_Momentum_Bull,High_Momentum_Bull
2008-04-23,5022.7998046875,5083.5,5003.5498046875,32.369998931884766,-0.005262072889500719,4861.516494572584,4853.857491129749,0.03317551432664545,0.0015779209539692474,50.34259686956557,63.623875503778436,69.76207671731265,19.64195032210148,2.1399993896484375,32.369998931884766,0.02849010576187072,1,High_Momentum_Bull,High_Momentum_Bull
2008-04-24,4999.85009765625,5072.7001953125,4991.35009765625,28.729999542236328,-0.0045795767315603185,4874.691123437695,4859.582691385691,0.025675262503666474,0.003108997832012683,54.49134410782608,57.36251389710287,66.9425478721117,13.519833090165115,0.7899990081787109,28.729999542236328,0.04567138878089416,1,High_Momentum_Bull,High_Momentum_Bull
2008-04-25,5111.7001953125,5117.7001953125,4999.14990234375,27.399999618530273,0.02212413660015115,4897.263415997199,4869.469652323997,0.04378706250818154,0.005707759911787846,66.0433180350783,55.05389709532392,70.75299842382469,13.815103254311516,0.2999992370605469,27.399999618530273,0.015757928205837546,1,High_Momentum_Bull,High_Momentum_Bull
2008-04-28,5089.64990234375,5147.4501953125,5079.14990234375,27.6200008392334,-0.004323021384082487,4915.585938506395,4878.104171932615,0.03541062368044856,0.0076836748976047975,72.58238172376423,44.58866590908383,80.8746489515977,25.539970250602146,0.5200004577636719,27.6200008392334,0.010806244251627684,0,Steady_Uptrend,Steady_Uptrend
2008-04-29,5195.5,5210.89990234375,5082.14990234375,26.15999984741211,0.0205838195785686,4942.244420553405,4890.551067150944,0.051243030068156115,0.010570046747835349,85.3223125552986,43.34397919476032,80.6492452127677,8.008298993984297,-13.459999084472656,26.15999984741211,-0.011548455394090995,0,Steady_Uptrend,Steady_Uptrend
2008-04-30,5165.89990234375,5230.75,5155.85009765625,26.15999984741211,-0.005713548064716786,4963.544942628676,4901.349060687917,0.040768233601992554,0.012689543464596609,91.970144447253,41.62754757768744,83.22774231829908,13.465665600986426,-6.209999084472656,26.15999984741211,-0.016299136379520074,0,Steady_Uptrend,Steady_Uptrend
2008-05-02,5228.2001953125,5298.85009765625,5197.60009765625,24.209999084472656,0.011987769688960374,4988.75020478904,4914.166752241823,0.047997991619944225,0.015177232745142932,101.10029087352996,46.60894676570388,83.81476270381721,16.872214831705506,-4.520000457763672,24.209999084472656,-0.04697603161341257,0,Steady_Uptrend,Steady_Uptrend
2008-05-05,5192.25,5254.5,5182.60009765625,25.06999969482422,-0.00689995869070044,5008.131137666274,4925.071977644105,0.03676398586070628,0.016864557594120866,104.23357758288057,38.19025954780227,81.31176334918565,10.558764925360961,-2.3299999237060547,25.06999969482422,-0.03459003277119743,0,Steady_Uptrend,Steady_Uptrend
2008-05-06,5144.64990234375,5206.5,5110.89990234375,24.90999984741211,-0.0092098084650326,5021.132924778415,4933.682876651934,0.0245994239578482,0.017725105223185045,101.70342601696848,29.12104429320425,74.91677373124432,-5.957875220353387,-2.710000991821289,24.90999984741211,-0.03631930281030915,0,Steady_Uptrend,Steady_Uptrend
2008-05-07,5135.5,5159.0498046875,5101.25,25.059999465942383,-0.0017801111553528285,5032.025027180471,4941.597273645975,0.02056328660143958,0.018299296467714,97.83219339497737,12.509880839678772,69.88109610885246,-10.768149103915235,-1.1000003814697266,25.059999465942383,-0.02409697205724859,0,Steady_Uptrend,Steady_Uptrend
2008-05-08,5081.7001953125,5143.0498046875,5062.4501953125,25.940000534057617,-0.010531319910933291,5036.755995573998,4947.091505868192,0.00892324340865347,0.018124687930159977,89.39255728136686,-2.5775871658861433,64.09514395516133,-19.132598363137745,-0.2199993133544922,25.940000534057617,0.006602082649119545,0,Steady_Uptrend,Steady_Uptrend
